year,maker,model,color,trans,drivet,mileage,price,body_code
2016,Subaru,Legacy 2.5i,Black,CVT,AWD,24144,15420,20211
2016,BMW,535 i,Gray,Automatic,RWD,41606,23999,20211
2016,Hyundai,Genesis 3.8,White,Automatic,RWD,27761,22995,20211
2017,Mercedes-Benz,E 300,White,Automatic,RWD,46430,30500,20211
2016,Mercedes-Benz,S 550,Silver,Automatic,RWD,51375,47795,20211
2016,Lexus,IS 200t Base,White,Automatic,RWD,29567,22700,20211
2013,Ford,Fusion Hybrid Titanium,Black,CVT,FWD,89145,10998,20211
2014,Mercedes-Benz,CLA 45 AMG 4MATIC,Black,Automatic,AWD,62395,28900,20211
2017,INFINITI,Q50 3.0T Signature Edition,Gray,Automatic,RWD,15300,25750,20211
2017,Lexus,IS 200t Base,Silver,Automatic,RWD,24915,25881,20211
2017,Mercedes-Benz,E 300 Sport,Green,Automatic,RWD,24209,34988,20211
2018,Kia,Optima LX,White,Automatic,FWD,8,16250,20211
2016,Mazda,Mazda3 i Sport,Blue,Automatic,FWD,54901,12982,20211
2013,Jaguar,XF I4 T,Gray,Automatic,RWD,32068,19999,20211
2015,Nissan,Sentra SV,Blue,CVT,FWD,83571,7981,20211
2015,Honda,Civic LX,Gray,CVT,FWD,45089,12491,20211
2018,Alfa,Romeo Giulia Ti,White,Automatic,RWD,12428,33826,20211
2017,Honda,Accord Hybrid Touring,Gray,CVT,FWD,11016,26380,20211
2016,Mercedes-Benz,C300 4MATIC,Silver,Automatic,AWD,34174,24984,20211
2013,Honda,Civic Si,Gray,Manual,FWD,84231,12948,20211
2012,BMW,ActiveHybrid 5 Base,White,Automatic,RWD,61275,14450,20211
2018,Honda,Accord Sport,Black,CVT,FWD,24573,22500,20211
2017,BMW,640 Gran Coupe i,Blue,Automatic,RWD,10099,47888,20211
2015,Toyota,Camry XSE,Other,Automatic,FWD,46115,14995,20211
2016,Mercedes-Benz,E 350,Black,Automatic,RWD,34659,23200,20211
2015,Toyota,Corolla S Plus,White,CVT,FWD,61261,13482,20211
2017,Volkswagen,Jetta 1.4T S,Blue,Automatic,FWD,33809,11885,20211
2018,Dodge,Charger SXT Plus,Gray,Automatic,RWD,55044,18985,20211
2011,Acura,TSX Technology,White,Automatic,FWD,65898,12681,20211
2015,INFINITI,Q50 Premium,Gray,Automatic,RWD,26848,19392,20211
2019,Acura,TLX V6 Technology & A-Spec,Blue,Automatic,AWD,20252,32694,20211
2016,Nissan,Altima 2.5 S,Red,CVT,FWD,46390,13998,20211
2018,Chrysler,300 S,Black,Automatic,RWD,35438,19999,20211
2015,Honda,Accord EX-L,Gray,Automatic,FWD,58701,17998,20211
2014,Mercedes-Benz,E 350 Luxury,Silver,Automatic,RWD,36092,23620,20211
2016,Mercedes-Benz,C 350e,White,Automatic,RWD,20810,29480,20211
2017,BMW,530 i,Gray,Automatic,RWD,31492,36240,20211
2008,INFINITI,G35 Journey,Blue,Automatic,RWD,78495,14599,20211
2011,Hyundai,Sonata SE,Blue,Automatic,FWD,127493,7997,20211
2018,Lexus,IS 300 Base,White,Automatic,RWD,7325,29789,20211
2017,Alfa,Romeo Giulia Base,White,Automatic,RWD,23406,24989,20211
2017,Mercedes-Benz,E 300 Sport,Black,Automatic,RWD,29980,33884,20211
2016,Ford,Taurus SEL,Other,Automatic,FWD,49771,12800,20211
2015,Honda,Civic LX,Black,Manual,FWD,47746,12000,20211
2016,Toyota,Corolla LE,Blue,CVT,FWD,98185,11998,20211
2017,Honda,Accord LX,Black,CVT,FWD,24631,18588,20211
2018,BMW,530e iPerformance,Blue,Automatic,RWD,12697,39503,20211
2014,Maserati,Ghibli S Q4,Black,Automatic,AWD,71338,37777,20211
2017,Genesis,G80 3.8,White,Automatic,RWD,28858,28999,20211
2015,Mercedes-Benz,S 550,Green,Automatic,RWD,43069,44900,20211
2016,Ford,Fusion SE,Gray,Automatic,FWD,36825,16992,20211
2017,Hyundai,Elantra SE,Gray,Automatic,FWD,50838,11158,20211
2012,Mercedes-Benz,E 63 AMG,Black,Automatic,RWD,19719,40991,20211
2016,Jaguar,XJ XJ R-Sport,White,Automatic,RWD,29269,34993,20211
2018,Toyota,Camry SE,White,Automatic,FWD,31828,21991,20211
2018,Toyota,Avalon Limited,Red,Automatic,FWD,26652,26995,20211
2014,Toyota,Corolla S Premium,Blue,CVT,FWD,51164,13995,20211
2018,Kia,Optima S,Black,Automatic,FWD,16744,17500,20211
2019,Kia,Stinger GT,Red,Automatic,RWD,5310,34991,20211
2014,Lexus,IS 350 Base,Gray,Automatic,RWD,97779,18695,20211
2016,BMW,550 i,Black,Automatic,RWD,45997,29000,20211
2017,Jaguar,XF S,White,Automatic,RWD,30053,32799,20211
2015,Mercedes-Benz,S 550,White,Automatic,RWD,61241,45995,20211
2017,Mercedes-Benz,E 300 Sport,Black,Automatic,RWD,25959,31900,20211
2016,BMW,535 i,White,Automatic,RWD,28643,25900,20211
2016,Audi,A4 2.0T Premium,Black,CVT,FWD,22771,19500,20211
2016,Volkswagen,Jetta 1.8T SEL,Other,Automatic,FWD,26832,14820,20211
2017,Volkswagen,Jetta 1.4T S,White,Automatic,FWD,8980,14899,20211
2019,Lexus,ES 350 Premium,Beige,Automatic,FWD,2179,36974,20211
2017,Hyundai,Sonata Base,White,Automatic,FWD,81738,9899,20211
2014,Mercedes-Benz,C 250 Sport Sedan,Black,Automatic,RWD,78887,13995,20211
2013,Audi,A4 2.0T Premium,Gray,CVT,FWD,54000,13700,20211
2017,BMW,740e xDrive iPerformance,Gray,Automatic,AWD,30310,47961,20211
2017,Mazda,Mazda6 Grand Touring,White,Automatic,FWD,24157,20998,20211
2016,Honda,Civic EX-T,Red,CVT,FWD,40311,16583,20211
2015,Lexus,LS 460 460,White,Automatic,RWD,38070,37881,20211
2017,Lincoln,Continental Reserve,Gray,Automatic,AWD,5589,48995,20211
2017,Lincoln,MKZ Select,Black,Automatic,FWD,21865,25995,20211
2016,Lexus,IS 200t Base,White,Automatic,RWD,18396,22433,20211
2017,Audi,A4 2.0T Premium,Black,Automatic,AWD,18440,24999,20211
2013,BMW,328 i,Black,Other,Unknown,45632,13462,20211
2013,Audi,A4 2.0T Premium,Silver,CVT,FWD,62001,12888,20211
2018,Acura,RLX Technology Package,White,Automatic,FWD,4288,35720,20211
2013,BMW,650 i,Black,Automatic,RWD,84528,22981,20211
2016,Chevrolet,Malibu LS,Black,Automatic,FWD,33560,13888,20211
2013,Lexus,ES 350 Base,Silver,Automatic,FWD,91194,14988,20211
2017,Cadillac,CTS 3.6L Luxury,Black,Automatic,RWD,39191,24898,20211
2015,Honda,Accord Hybrid EX-L,Gray,CVT,FWD,42528,19500,20211
2016,Hyundai,Sonata Plug-In Hybrid Limited,Gray,Automatic,FWD,25056,18999,20211
2013,Hyundai,Azera Base,White,Automatic,FWD,99129,10900,20211
2018,Toyota,Yaris iA Base,Other,Automatic,FWD,40128,11872,20211
2018,Mercedes-Benz,CLA 250 Base,Black,Automatic,FWD,19069,22750,20211
2014,Hyundai,Sonata SE 2.0T,Red,Automatic,FWD,48702,13985,20211
2006,BMW,550 i,Black,Automatic,RWD,116458,7999,20211
2012,Honda,Accord EX-L,Black,Automatic,FWD,36671,13999,20211
2018,Acura,TLX FWD,Gray,Automatic,FWD,23932,22000,20211
2013,Honda,Civic LX,Red,Automatic,FWD,48206,11902,20211
2017,Honda,Accord Hybrid EX-L,Blue,CVT,FWD,47002,22648,20211
2017,Lexus,IS 200t Base,Black,Automatic,RWD,14575,27891,20211
2016,Dodge,Charger R/T,Black,Automatic,RWD,70500,19999,20211
2016,Mercedes-Benz,E 350,Silver,Automatic,RWD,45230,25582,20211
